,artist,year,year
,count,amin,amax
dj-laz,12,2008,2008
chutzpah,12,2005,2005
abidaz,12,2013,2013
dave-young,12,2010,2016
clementino,12,2011,2011
forever-jones,12,2010,2015
feloni,12,2011,2011
dame-d-o-l-l-a,11,2016,2016
dae-dae,11,2016,2016
clueso,11,2014,2016
eins-zwo,11,2006,2006
cj-fly,11,2013,2016
bil-basmala,11,2016,2016
dj-kridlokk,11,2014,2014
big-pokey,11,2008,2013
ferris-mc,11,2016,2016
califa-thugs,11,2007,2007
free-chapel,11,2015,2015
fler,11,2006,2016
brown-intentions,11,2001,2001
bars-and-melody,11,2014,2016
dope-d-o-d,11,2013,2013
danny-seth,11,2015,2015
alpoko-don,11,2013,2016
bravehearts,11,2006,2006
azizi-gibson,11,2013,2016
dubmatique,11,2006,2006
brandon-jarod,11,2011,2016
bishop-paul-s-morton,11,2012,2013
beogradski-sindikat,11,2010,2016
funkdoobiest,11,2008,2008
foxal,11,2016,2016
god-des-and-she,10,2006,2013
chocolate-droppa,10,2016,2016
chris-rivers,10,2015,2016
grannies-smoking-pipes,10,2012,2012
eddie-james,10,2010,2016
general-knas,10,2011,2011
darrell-evans,10,1999,1999
damez,10,2013,2015
the-california-raisins,10,2016,2016
calez,10,2012,2016
bully,10,2015,2015
black-nasty,10,1973,1973
express-rising,10,2015,2015
danni-toma,10,2013,2013
fctznf-sterne-deluxe,10,2006,2006
finale,10,2015,2015
big-freedia,10,2014,2014
the-constellations,10,2010,2010
flip-major,10,2013,2016
brian-doerksen,10,2008,2014
future-brown,10,2015,2015
chaundon,10,2012,2013
ahmad,10,2006,2007
connie-price-the-keystones,10,2016,2016
doc-gyneco,10,1996,1996
cr7z,10,2015,2015
dinos-punchlinovic,9,2013,2013
great-dane,9,2014,2014
criolo,9,2013,2016
forch-fabalon,9,2014,2016
cuban-link,9,2006,2012
cymphonique,9,2011,2013
ebony-eyez,9,2006,2008
doubleswee,9,2013,2014
david-dallas,9,2008,2014
dj-sancho,9,2007,2008
dj-jazzy-jeff,9,2008,2016
dk,9,2013,2015
cousin-stizz,9,2015,2016
boogz-boogetz,9,2012,2016
baby-d,9,2006,2012
brihang,9,2013,2013
anderson-paak,9,2015,2016
camp-lo,9,2006,2015
ai-otsuka,9,2006,2013
blade,9,2006,2006
bryan-duncan,9,2008,2016
8-ball,9,2006,2013
40-cal,9,2011,2012
adian-coker,9,2012,2012
gagle,8,2013,2013
cana,8,2016,2016
7-profitz,8,2009,2010
conecrewdiretoria,8,2013,2016
flosstradamus,8,2012,2016
d2e,8,2015,2015
704,8,2016,2016
6lack,8,2016,2016
7-days-of-funk,8,2013,2013
domino,8,2008,2013
cupid,8,2007,2014
baby-rasta,8,2007,2014
baby-boy,8,2006,2012
castro,8,2012,2016
craig-mack,8,2008,2008
